post_id,status,title,date,author,content_chars,link
34946,draft,,2020-11-10 19:49:27,masteruni,40,https://www.uniremington.edu.co/?post_type=tribe_events&p=34946
50072,draft,,2023-06-15 21:28:00,masteruni,0,https://www.uniremington.edu.co/?post_type=tribe_events&p=50072
27715,draft,..,2020-03-27 19:51:52,webcreativa,0,https://www.uniremington.edu.co/?post_type=tribe_events&p=27715
68986,publish,2.° Simposio de Ginecología y Obstetricia,2026-03-16 15:20:04,acontreras,11202,https://www.uniremington.edu.co/evento/2-simposio-de-ginecologia-y-obstetricia/
38765,publish,30 años de la Constitución Política colombiana,2021-05-10 16:55:04,masteruni,5568,https://www.uniremington.edu.co/evento/30-anos-de-la-constitucion-politica-colombiana/
28767,publish,6to. Congreso Internacional - Virtual,2020-06-23 16:32:29,webcreativa,5060,https://www.uniremington.edu.co/evento/6to-congreso-internacional-virtual/
68684,publish,"<i>Open Day</i> - Adaptabilidad, el nuevo superpoder",2026-03-18 12:39:46,acontreras,5567,https://www.uniremington.edu.co/evento/open-day-adaptabilidad-el-nuevo-superpoder/
68708,publish,<i>Open Day</i> - Gestión del conocimiento e innovación en salud,2026-03-04 21:46:56,acontreras,5665,https://www.uniremington.edu.co/evento/open-day-gestion-del-conocimiento-e-innovacion-en-salud/
68747,publish,<i>Open Day</i> - Maestría en Clínica y Cirugía Veterinaria,2026-03-25 13:51:09,acontreras,19195,https://www.uniremington.edu.co/evento/open-day-maestria-en-clinica-y-cirugia-veterinaria/
43361,draft,Académicos Uniremington en revistas Q1,2022-04-01 17:00:29,masteruni,6595,https://www.uniremington.edu.co/?post_type=tribe_events&p=43361
34300,publish,Accidentes con animales venenosos y ponzoñosos,2020-10-21 13:42:35,masteruni,8718,https://www.uniremington.edu.co/evento/accidentes-con-animales-venenosos-y-ponzonosos/
31745,publish,Acerca de la salud intestinal de los animales,2020-07-17 15:05:32,webcreativa,2911,https://www.uniremington.edu.co/evento/acerca-de-la-salud-intestinal-de-los-animales/
37892,publish,Acertada aplicación de las NIIF,2021-03-15 22:52:15,masteruni,4526,https://www.uniremington.edu.co/evento/acertada-aplicacion-de-las-niif/
64776,publish,Actividades en la Semana Remington 2025,2025-09-15 15:15:31,acontreras,5042,https://www.uniremington.edu.co/evento/actividades-en-la-semana-remington-2025/
43876,publish,Actividades orientadas a los maestros,2022-05-04 19:51:58,masteruni,8797,https://www.uniremington.edu.co/evento/actividades-orientadas-a-los-maestros/
62614,publish,Actualizaciones en Salud Uniremington,2025-03-10 15:05:58,webcreativa,3011,https://www.uniremington.edu.co/evento/actualizaciones-en-salud-uniremington/
43237,publish,Actualización de temáticas contables,2022-03-28 15:42:50,masteruni,6526,https://www.uniremington.edu.co/evento/actualizacion-de-tematicas-contables/
